subjId,task,measIndex,src,det,chromophore,roi,term,beta,SE,t,p
sub-003,cate,1,2,2,HbO,LeftFrontal,task,2.66911771082097e-09,1.59889390407437e-10,16.6935260933788,5.98469404560538e-61
sub-003,cate,1,2,2,HbO,LeftFrontal,intercept,-3.0083573879829e-08,7.56673736903474e-09,-3.97576556613946,7.1127044523066e-05
sub-003,cate,1,2,2,HbO,LeftFrontal,dct01,-1.17350623685211e-08,8.82905206413543e-09,-1.32914182443098,0.183860849983797
sub-003,cate,1,2,2,HbO,LeftFrontal,dct02,1.59671943011919e-08,8.29852163759827e-09,1.92410106263373,0.0543976974481649
sub-003,cate,1,2,2,HbO,LeftFrontal,dct03,-3.24575757818173e-08,5.7429169420894e-09,-5.65175782779274,1.67472369093651e-08
sub-003,cate,2,2,2,HbR,LeftFrontal,task,-7.43047743885021e-10,6.78187009263774e-11,-10.9563842087105,1.25895693406227e-27
sub-003,cate,2,2,2,HbR,LeftFrontal,intercept,1.46242257905523e-08,2.62546461862232e-09,5.57014773188078,2.67618113267261e-08
sub-003,cate,2,2,2,HbR,LeftFrontal,dct01,-9.45508824630272e-09,3.15498409428721e-09,-2.99687350672329,0.00274082128575079
sub-003,cate,2,2,2,HbR,LeftFrontal,dct02,-1.47845010684109e-08,3.05200378051607e-09,-4.8441948738055,1.30902448656669e-06
sub-003,cate,2,2,2,HbR,LeftFrontal,dct03,-1.66224286048121e-09,2.2926192539257e-09,-0.725040958124606,0.468460285154267
sub-003,cate,3,2,2,HbT,LeftFrontal,task,1.76205753600463e-09,1.26284653726919e-10,13.9530614686955,1.89208803857446e-43
sub-003,cate,3,2,2,HbT,LeftFrontal,intercept,-1.40061354893791e-08,2.54443586983772e-09,-5.50461328399383,3.88140918321289e-08
sub-003,cate,3,2,2,HbT,LeftFrontal,dct01,-8.32551401873128e-09,3.14197173454285e-09,-2.64977368421254,0.00807951269365604
sub-003,cate,3,2,2,HbT,LeftFrontal,dct02,-1.94411995718073e-10,3.19226383230882e-09,-0.0609009799724054,0.951440463747802
sub-003,cate,3,2,2,HbT,LeftFrontal,dct03,-1.61216272651815e-08,2.99187174454594e-09,-5.38847538988613,7.42636106596236e-08
sub-003,cate,4,2,5,HbO,LeftFrontal,task,4.49887852023181e-09,1.85316715293146e-10,24.2767011767675,2.8511863283604e-123
sub-003,cate,4,2,5,HbO,LeftFrontal,intercept,-3.39557894620018e-08,1.29909410208567e-08,-2.61380522069082,0.00898041338079185
sub-003,cate,4,2,5,HbO,LeftFrontal,dct01,2.37982342979641e-09,1.41777305639601e-08,0.167856443530246,0.866702896029298
sub-003,cate,4,2,5,HbO,LeftFrontal,dct02,2.99158954028276e-08,1.22734516259698e-08,2.4374476157569,0.0148254204566512
sub-003,cate,4,2,5,HbO,LeftFrontal,dct03,-4.89191507589286e-08,7.53446334301129e-09,-6.49271866247838,9.23349685984653e-11
sub-003,cate,5,2,5,HbR,LeftFrontal,task,-1.99095902602822e-09,9.6710045187498e-11,-20.5868896262866,1.62198297098918e-90
sub-003,cate,5,2,5,HbR,LeftFrontal,intercept,1.42811944519656e-08,1.8471783747517e-09,7.73135645542912,1.27417373970454e-14
sub-003,cate,5,2,5,HbR,LeftFrontal,dct01,-4.11332379129867e-09,2.28415798435673e-09,-1.80080529432253,0.0717928388337998
sub-003,cate,5,2,5,HbR,LeftFrontal,dct02,-1.00598175082465e-08,2.33642798145803e-09,-4.30563988622015,1.6963852765177e-05
sub-003,cate,5,2,5,HbR,LeftFrontal,dct03,4.36609410063136e-09,2.25252417653021e-09,1.93831175981289,0.0526405083539459
sub-003,cate,6,3,3,HbR,RightFrontal,task,-4.26365457848214e-10,8.07655475809416e-11,-5.27905116251356,1.35257164024708e-07
sub-003,cate,6,3,3,HbR,RightFrontal,intercept,-3.3806182640308e-10,2.27196881512368e-09,-0.148796860305795,0.881719831965996
sub-003,cate,6,3,3,HbR,RightFrontal,dct01,-6.71708893613037e-09,2.79673543625207e-09,-2.4017605845235,0.016352063279643
sub-003,cate,6,3,3,HbR,RightFrontal,dct02,-1.71803258491673e-08,2.78303481623082e-09,-6.17323425095893,7.21022460344211e-10
sub-003,cate,6,3,3,HbR,RightFrontal,dct03,1.89712579611241e-09,2.32383826763975e-09,0.816376002809892,0.414323381469426
