subjId,task,roi,chromophore,term,nChannels,meanBeta,sdBeta,seBeta
sub-003,cate,LeftFrontal,HbO,task,6,-3.54717802243439e-10,6.06958018252512e-09,2.47789573334922e-09
sub-003,cate,LeftFrontal,HbO,intercept,6,7.85460965767991e-09,4.8414135622717e-08,1.97649881022599e-08
sub-003,cate,LeftFrontal,HbO,dct01,6,1.64498766416331e-08,7.83793768280159e-08,3.19982465976604e-08
sub-003,cate,LeftFrontal,HbO,dct02,6,-1.2764752016609e-08,4.36526562931176e-08,1.78211223058718e-08
sub-003,cate,LeftFrontal,HbO,dct03,6,-3.76600021544578e-08,1.10264619955948e-08,4.50153425956635e-09
sub-003,cate,LeftFrontal,HbR,task,6,-4.67416956065251e-09,5.79086714237784e-09,2.36411161117911e-09
sub-003,cate,LeftFrontal,HbR,intercept,6,4.39949904713168e-08,5.65042182075662e-08,2.3067750487236e-08
sub-003,cate,LeftFrontal,HbR,dct01,6,-5.05330861965185e-09,4.82780767617544e-09,1.97094423048694e-09
sub-003,cate,LeftFrontal,HbR,dct02,6,-9.58421639511338e-09,5.95996528057656e-09,2.43314563701936e-09
sub-003,cate,LeftFrontal,HbR,dct03,6,-7.97135233658947e-09,1.39208116142669e-08,5.68314754339395e-09
sub-003,cate,LeftFrontal,HbT,task,4,-6.86551587033346e-09,1.03548604586643e-08,5.17743022933216e-09
sub-003,cate,LeftFrontal,HbT,intercept,4,-5.61859583789849e-08,2.08224870578851e-07,1.04112435289426e-07
sub-003,cate,LeftFrontal,HbT,dct01,4,2.62744837602505e-07,4.40459295733557e-07,2.20229647866779e-07
sub-003,cate,LeftFrontal,HbT,dct02,4,-8.87664132493579e-08,1.98042817895853e-07,9.90214089479264e-08
sub-003,cate,LeftFrontal,HbT,dct03,4,-1.07171589104957e-07,6.31405667414431e-08,3.15702833707216e-08
sub-003,cate,LeftTemporal,HbO,task,6,-1.19618856872781e-09,6.32384079809189e-09,2.58169719498664e-09
sub-003,cate,LeftTemporal,HbO,intercept,6,1.36199807715406e-09,5.25152540067694e-08,2.14392626715392e-08
sub-003,cate,LeftTemporal,HbO,dct01,6,1.95237218512916e-08,3.25633879892492e-08,1.32939474783225e-08
sub-003,cate,LeftTemporal,HbO,dct02,6,6.33154727676245e-09,2.24760771776776e-08,9.17582008412073e-09
sub-003,cate,LeftTemporal,HbO,dct03,6,-1.28304856410878e-08,1.98640244722696e-08,8.10945403253639e-09
