subjId,condition,roi,chromophore,blockIndex,blockLabel,blockMean,nChannels
sub-003,task,LeftFrontal,HbO,1,Vegetable,-4.3376309236096e-07,4
sub-003,task,LeftFrontal,HbR,1,Vegetable,1.55444370096382e-07,4
sub-003,task,LeftFrontal,HbO,2,Animal,3.6891145691574e-08,4
sub-003,task,LeftFrontal,HbR,2,Animal,-7.30475098893309e-08,4
sub-003,task,LeftFrontal,HbO,3,Flower,-3.97994060214622e-07,4
sub-003,task,LeftFrontal,HbR,3,Flower,1.31423666106491e-07,4
sub-003,task,LeftFrontal,HbO,4,Instrument,1.32696893107366e-07,4
sub-003,task,LeftFrontal,HbR,4,Instrument,-9.12118702047125e-08,4
sub-003,task,LeftFrontal,HbO,5,Fruit,3.47661173150459e-07,4
sub-003,task,LeftFrontal,HbR,5,Fruit,-2.0665234653948e-07,4
sub-003,task,LeftFrontal,HbO,6,Appliance,-2.02677078434986e-07,4
sub-003,task,LeftFrontal,HbR,6,Appliance,7.07934686506841e-08,4
sub-003,task,LeftTemporal,HbO,1,Vegetable,-1.82354571179707e-07,4
sub-003,task,LeftTemporal,HbR,1,Vegetable,6.95162776149221e-08,4
sub-003,task,LeftTemporal,HbO,2,Animal,-4.54792014339493e-08,4
sub-003,task,LeftTemporal,HbR,2,Animal,-2.75681644946177e-08,4
sub-003,task,LeftTemporal,HbO,3,Flower,-3.3940924020637e-07,4
sub-003,task,LeftTemporal,HbR,3,Flower,-6.38622796844095e-09,4
sub-003,task,LeftTemporal,HbO,4,Instrument,-1.61418486141754e-07,4
sub-003,task,LeftTemporal,HbR,4,Instrument,-6.47422619770684e-08,4
sub-003,task,LeftTemporal,HbO,5,Fruit,1.45041211375517e-07,4
sub-003,task,LeftTemporal,HbR,5,Fruit,-9.22288418250673e-08,4
sub-003,task,LeftTemporal,HbO,6,Appliance,-1.44505263680209e-07,4
sub-003,task,LeftTemporal,HbR,6,Appliance,-3.99250201224444e-08,4
sub-003,task,RightFrontal,HbO,1,Vegetable,-3.52676329470825e-07,5
sub-003,task,RightFrontal,HbR,1,Vegetable,9.95358847390348e-08,5
sub-003,task,RightFrontal,HbO,2,Animal,1.00193899522567e-07,5
sub-003,task,RightFrontal,HbR,2,Animal,-9.56167604255997e-08,5
sub-003,task,RightFrontal,HbO,3,Flower,-5.07198321546168e-07,5
sub-003,task,RightFrontal,HbR,3,Flower,1.4677182408519e-07,5
sub-003,task,RightFrontal,HbO,4,Instrument,1.04829441866992e-09,5
sub-003,task,RightFrontal,HbR,4,Instrument,5.64766214008184e-08,5
sub-003,task,RightFrontal,HbO,5,Fruit,2.11939428506652e-07,5
sub-003,task,RightFrontal,HbR,5,Fruit,-1.24257990297729e-07,5
sub-003,task,RightFrontal,HbO,6,Appliance,-3.13448597102458e-07,5
sub-003,task,RightFrontal,HbR,6,Appliance,8.62058198366882e-08,5
sub-003,task,RightTemporal,HbO,1,Vegetable,-4.47251700835915e-07,7
sub-003,task,RightTemporal,HbR,1,Vegetable,2.06001925662293e-08,7
sub-003,task,RightTemporal,HbO,2,Animal,-3.24931014133481e-07,7
sub-003,task,RightTemporal,HbR,2,Animal,-3.21161018490624e-08,7
sub-003,task,RightTemporal,HbO,3,Flower,-2.16782906026427e-07,7
sub-003,task,RightTemporal,HbR,3,Flower,-7.51502061090589e-08,7
sub-003,task,RightTemporal,HbO,4,Instrument,-1.66717740299357e-07,7
sub-003,task,RightTemporal,HbR,4,Instrument,-8.83224077867405e-08,7
sub-003,task,RightTemporal,HbO,5,Fruit,7.3130045855366e-08,7
sub-003,task,RightTemporal,HbR,5,Fruit,1.62720452815522e-08,7
sub-003,task,RightTemporal,HbO,6,Appliance,-2.29651835476607e-07,7
sub-003,task,RightTemporal,HbR,6,Appliance,5.86442294552749e-08,7
