subjId,task,roi,chromophore,term,nChannels,meanBeta,sdBeta,seBeta
sub-002,motor,LeftCentral,HbO,right,7,5.09790783210627e-09,2.40280769131133e-09,9.08175942789005e-10
sub-002,motor,LeftCentral,HbO,intercept,7,-5.93514799357389e-08,2.54370150055628e-08,9.61428797150534e-09
sub-002,motor,LeftCentral,HbO,dct01,7,1.90484689683964e-09,1.01421582217639e-08,3.8333754874652e-09
sub-002,motor,LeftCentral,HbO,dct02,7,-9.2105567890305e-09,8.91442178630154e-09,3.36933473264143e-09
sub-002,motor,LeftCentral,HbO,dct03,7,5.06165763650709e-09,1.21913419008962e-08,4.60789411684754e-09
sub-002,motor,LeftCentral,HbR,right,6,-3.15810965268395e-09,1.9716507882658e-09,8.04923063701241e-10
sub-002,motor,LeftCentral,HbR,intercept,6,3.40611450015317e-08,1.68255661859758e-08,6.86900863151121e-09
sub-002,motor,LeftCentral,HbR,dct01,6,-2.45747513534632e-09,1.04401287713586e-08,4.26216472312973e-09
sub-002,motor,LeftCentral,HbR,dct02,6,2.945056144816e-09,1.29475773755859e-08,5.28582632923152e-09
sub-002,motor,LeftCentral,HbR,dct03,6,-4.18956072509371e-09,2.28231396929761e-08,9.31750776267544e-09
sub-002,motor,LeftCentral,HbT,right,5,2.4974169938146e-09,7.53147311628621e-10,3.36817717174563e-10
sub-002,motor,LeftCentral,HbT,intercept,5,-2.50560046326637e-08,1.08855684315135e-08,4.86817419731798e-09
sub-002,motor,LeftCentral,HbT,dct01,5,-8.50781856192401e-09,1.40659096849765e-08,6.29046604419604e-09
sub-002,motor,LeftCentral,HbT,dct02,5,-1.88164327418453e-08,1.91269588773415e-08,8.55383605051575e-09
sub-002,motor,LeftCentral,HbT,dct03,5,1.35322498040207e-08,6.54307820274317e-09,2.92615352868617e-09
sub-002,motor,RightCentral,HbO,left,6,6.29023382958633e-09,4.44564977362398e-09,1.81492892008305e-09
sub-002,motor,RightCentral,HbO,intercept,6,-5.85233065608963e-08,3.17575088996628e-08,1.29649487176783e-08
sub-002,motor,RightCentral,HbO,dct01,6,5.21895316388935e-09,5.99532364629388e-09,2.44758062937705e-09
sub-002,motor,RightCentral,HbO,dct02,6,5.19386426933563e-09,9.27751022002389e-09,3.78752768708577e-09
sub-002,motor,RightCentral,HbO,dct03,6,-2.06644158632587e-08,1.40059014597789e-08,5.71788532736007e-09
sub-002,motor,RightCentral,HbR,left,6,-3.04428441059316e-09,3.57584118184387e-09,1.45983104945804e-09
sub-002,motor,RightCentral,HbR,intercept,6,3.07049208212429e-08,2.56954156338853e-08,1.04901095052921e-08
sub-002,motor,RightCentral,HbR,dct01,6,-2.09636113724937e-09,4.96102762537953e-09,2.02533104700519e-09
sub-002,motor,RightCentral,HbR,dct02,6,-6.43227719580957e-09,7.80935426774508e-09,3.1881555294336e-09
sub-002,motor,RightCentral,HbR,dct03,6,1.61870555195186e-08,1.3381084258542e-08,5.46280477310266e-09
sub-002,motor,RightCentral,HbT,left,4,3.54388756915442e-09,7.77790722899814e-10,3.88895361449907e-10
sub-002,motor,RightCentral,HbT,intercept,4,-2.88821700347277e-08,7.72659628879086e-09,3.86329814439543e-09
sub-002,motor,RightCentral,HbT,dct01,4,5.77663389026952e-10,3.87934199227361e-09,1.93967099613681e-09
sub-002,motor,RightCentral,HbT,dct02,4,-1.20117641436338e-09,8.04900401507465e-09,4.02450200753732e-09
sub-002,motor,RightCentral,HbT,dct03,4,-4.998745401453e-09,6.10462422822619e-09,3.0523121141131e-09
