subjId,task,measIndex,src,det,chromophore,roi,term,beta,SE,t,p
sub-002,cate,29,8,7,HbO,RightFrontal,task,1.74422810806734e-09,3.4188641933515e-11,51.0177652408437,0
sub-002,cate,29,8,7,HbO,RightFrontal,intercept,-9.03193801499614e-09,1.72482156595924e-09,-5.23644775392934,1.706243302542e-07
sub-002,cate,29,8,7,HbO,RightFrontal,dct01,-1.18133985472669e-08,2.3659212249067e-09,-4.99314957019872,6.14879966691454e-07
sub-002,cate,29,8,7,HbO,RightFrontal,dct02,-2.44187034527045e-09,2.01711964581454e-09,-1.21057288313921,0.22611821785306
sub-002,cate,29,8,7,HbO,RightFrontal,dct03,-2.42829932038387e-08,1.83691796723266e-09,-13.2194216818628,3.21660007085777e-39
sub-002,cate,30,8,7,HbR,RightFrontal,task,1.35268581682061e-09,3.36557344984226e-11,40.1918376460929,4.46475603124816e-305
sub-002,cate,30,8,7,HbR,RightFrontal,intercept,-8.43499456004947e-09,1.16513785121392e-09,-7.23948205035254,5.21263123060452e-13
sub-002,cate,30,8,7,HbR,RightFrontal,dct01,1.04174264027397e-08,1.60185780274745e-09,6.50334029953974,8.64802009025112e-11
sub-002,cate,30,8,7,HbR,RightFrontal,dct02,-8.00754667017269e-09,1.4777265859552e-09,-5.41882831795749,6.2897379369708e-08
sub-002,cate,30,8,7,HbR,RightFrontal,dct03,3.22075646599853e-08,1.37058368555583e-09,23.4991595182485,9.99749501873294e-116
sub-002,cate,31,8,7,HbT,RightFrontal,task,3.43478043222646e-09,3.93342008498469e-11,87.3230002902123,0
sub-002,cate,31,8,7,HbT,RightFrontal,intercept,-3.00871778146281e-08,1.71794722088964e-09,-17.5134471238571,1.23301136782144e-66
sub-002,cate,31,8,7,HbT,RightFrontal,dct01,7.25633112397762e-09,2.35962114114541e-09,3.07521025195394,0.00211526847861507
sub-002,cate,31,8,7,HbT,RightFrontal,dct02,-1.80043487920324e-08,2.08102552309581e-09,-8.65167129966212,6.80891992180784e-18
sub-002,cate,31,8,7,HbT,RightFrontal,dct03,6.56774130558388e-09,1.90654826828084e-09,3.44483347988148,0.000576260804037455
sub-002,cate,32,9,9,HbO,LeftTemporal,task,-3.25936086292148e-09,1.12218041698689e-10,-29.044891655417,3.99084344019655e-171
sub-002,cate,32,9,9,HbO,LeftTemporal,intercept,4.19952345704333e-08,3.57688204734281e-09,11.7407378869624,2.09240027898497e-31
sub-002,cate,32,9,9,HbO,LeftTemporal,dct01,-1.67592746902967e-08,4.91924902559403e-09,-3.40687666005543,0.000662459110784633
sub-002,cate,32,9,9,HbO,LeftTemporal,dct02,1.4515860300106e-08,4.60125121177395e-09,3.15476370056952,0.00161611783552067
sub-002,cate,32,9,9,HbO,LeftTemporal,dct03,-2.15795328501152e-08,4.31687349144694e-09,-4.99888006745413,5.96978184681975e-07
sub-002,cate,33,9,9,HbR,LeftTemporal,task,-6.46143737287973e-10,3.65606811235842e-11,-17.6731865334742,8.71141740177889e-68
sub-002,cate,33,9,9,HbR,LeftTemporal,intercept,5.06681830767755e-09,4.21553026733676e-09,1.20194091522408,0.229445188476696
sub-002,cate,33,9,9,HbR,LeftTemporal,dct01,-1.00723020208323e-08,5.57026468007808e-09,-1.80822682571182,0.0706332092895066
sub-002,cate,33,9,9,HbR,LeftTemporal,dct02,-1.33961363831908e-08,3.72554332555717e-09,-3.59575374987416,0.000326676974979246
sub-002,cate,33,9,9,HbR,LeftTemporal,dct03,2.22991558706366e-08,3.2665949058551e-09,6.8264221653769,9.77788614265836e-12
sub-002,cate,34,12,12,HbR,RightTemporal,task,3.69584382080959e-09,6.40213107247677e-11,57.7283373140905,0
sub-002,cate,34,12,12,HbR,RightTemporal,intercept,-2.44625003465305e-08,2.48741663561546e-09,-9.83450058034921,1.30053865898511e-22
sub-002,cate,34,12,12,HbR,RightTemporal,dct01,-2.24051675219256e-08,3.41892609027324e-09,-6.55327635940062,6.21469422881596e-11
sub-002,cate,34,12,12,HbR,RightTemporal,dct02,2.27840091891232e-08,3.09362000162992e-09,7.36483769083439,2.07362264644748e-13
sub-002,cate,34,12,12,HbR,RightTemporal,dct03,-9.58453210002354e-09,2.84785831287432e-09,-3.36552280592568,0.0007699321549767
sub-002,cate,35,12,12,HbT,RightTemporal,task,-2.73587254187346e-12,5.50894378702891e-11,-0.0496623789902379,0.960393484597161
sub-002,cate,35,12,12,HbT,RightTemporal,intercept,1.35565584767963e-08,9.31238054121046e-09,1.45575649714956,0.145524763862853
sub-002,cate,35,12,12,HbT,RightTemporal,dct01,-1.00529480629732e-07,1.18961288650706e-08,-8.45060454286996,3.78854817337662e-17
sub-002,cate,35,12,12,HbT,RightTemporal,dct02,2.41128443387267e-09,7.13745551394646e-09,0.337835301272431,0.735501948116008
sub-002,cate,35,12,12,HbT,RightTemporal,dct03,-6.80473806384174e-08,6.23165054843284e-09,-10.9196400070171,1.93513682317769e-27
sub-002,cate,36,12,16,HbO,RightTemporal,task,2.92623417977059e-10,3.79845066193498e-11,7.70375724264357,1.59193670634337e-14
sub-002,cate,36,12,16,HbO,RightTemporal,intercept,-5.10778915746821e-08,1.12551241167187e-08,-4.53818998751063,5.81126079903833e-06
sub-002,cate,36,12,16,HbO,RightTemporal,dct01,1.34780506229313e-07,1.28643674263178e-08,10.4770410983116,2.05534793666475e-25
sub-002,cate,36,12,16,HbO,RightTemporal,dct02,-4.76073526781805e-08,6.91841058689518e-09,-6.88125575668466,6.68789046983265e-12
sub-002,cate,36,12,16,HbO,RightTemporal,dct03,6.41156142338509e-08,5.87613393404937e-09,10.9111900704529,2.11899308403228e-27
sub-002,cate,37,13,9,HbO,LeftTemporal,task,-8.65087089111128e-10,7.25800652802257e-11,-11.9190728993023,2.65387492829608e-32
sub-002,cate,37,13,9,HbO,LeftTemporal,intercept,1.29255762010403e-08,1.81145487588129e-09,7.13546684112228,1.10740804405223e-12
sub-002,cate,37,13,9,HbO,LeftTemporal,dct01,7.73138217872935e-09,2.47589912146709e-09,3.12265637630185,0.0018028381900237
sub-002,cate,37,13,9,HbO,LeftTemporal,dct02,1.01185305717553e-08,2.36981241477536e-09,4.26976013319368,1.99428268776089e-05
sub-002,cate,37,13,9,HbO,LeftTemporal,dct03,-2.13161685126296e-09,2.25711276843466e-09,-0.94439980185007,0.345012493930878
sub-002,cate,38,13,9,HbR,LeftTemporal,task,-1.52156337069022e-09,1.97164631546955e-11,-77.1722270242904,0
sub-002,cate,38,13,9,HbR,LeftTemporal,intercept,2.48194768761452e-08,2.32296723976823e-09,10.6843852342152,2.36300587994096e-26
sub-002,cate,38,13,9,HbR,LeftTemporal,dct01,-1.91103735524232e-08,3.08908205040029e-09,-6.18642471796657,6.66104351515959e-10
sub-002,cate,38,13,9,HbR,LeftTemporal,dct02,7.82953637041515e-09,2.03974278566203e-09,3.83849200274237,0.000125370628161084
sub-002,cate,38,13,9,HbR,LeftTemporal,dct03,7.25321592117504e-09,1.80348836657105e-09,4.02177028453224,5.86416749155713e-05
sub-002,cate,39,13,9,HbT,LeftTemporal,task,-2.96724624393084e-09,1.01793031166752e-10,-29.1497974853509,2.96025391971162e-172
sub-002,cate,39,13,9,HbT,LeftTemporal,intercept,3.35136646201843e-08,2.29985147427907e-09,14.5720995442498,4.14565993850877e-47
sub-002,cate,39,13,9,HbT,LeftTemporal,dct01,1.4136591965217e-09,3.12800675269483e-09,0.451936107651881,0.651335250587956
sub-002,cate,39,13,9,HbT,LeftTemporal,dct02,1.36364198500765e-08,3.0160353497196e-09,4.52130637372809,6.29256036198684e-06
sub-002,cate,39,13,9,HbT,LeftTemporal,dct03,1.61378314690091e-08,2.8987371078655e-09,5.56719387391853,2.72835266690764e-08
sub-002,cate,40,13,13,HbO,LeftTemporal,task,1.16873910603779e-09,6.33655254877586e-11,18.4444001220124,1.80331009099858e-73
sub-002,cate,40,13,13,HbO,LeftTemporal,intercept,-7.94545896918882e-11,3.09790130301601e-09,-0.0256478763911988,0.979539255468738
sub-002,cate,40,13,13,HbO,LeftTemporal,dct01,-1.26842553793101e-09,4.24710942870288e-09,-0.298656194106681,0.76521519768604
sub-002,cate,40,13,13,HbO,LeftTemporal,dct02,9.27811749740243e-09,3.6676185140648e-09,2.52973897416598,0.0114461919383274
sub-002,cate,40,13,13,HbO,LeftTemporal,dct03,-1.84480859871971e-08,3.35042246594722e-09,-5.50619695715941,3.85595811154236e-08
sub-002,cate,41,13,13,HbR,LeftTemporal,task,1.13512663571216e-10,5.5960752368947e-11,2.02843347821402,0.0425706422422991
sub-002,cate,41,13,13,HbR,LeftTemporal,intercept,-7.57242420762352e-10,1.72868857495578e-09,-0.43804444116357,0.661373604156449
sub-002,cate,41,13,13,HbR,LeftTemporal,dct01,8.98988834933718e-09,2.37690400447591e-09,3.78218402274912,0.00015733267177534
sub-002,cate,41,13,13,HbR,LeftTemporal,dct02,-4.13286111074696e-09,2.23179477990656e-09,-1.85181054636215,0.064113854792885
sub-002,cate,41,13,13,HbR,LeftTemporal,dct03,1.73785991442443e-08,2.09850483959657e-09,8.28141961663775,1.55897773791697e-16
sub-002,cate,42,13,13,HbT,LeftTemporal,task,1.00262992072941e-09,5.56586963831115e-11,18.0138951481738,2.85083367087099e-70
sub-002,cate,42,13,13,HbT,LeftTemporal,intercept,-4.46956926255208e-09,1.97213006500905e-09,-2.26636637301687,0.0234728915188112
sub-002,cate,42,13,13,HbT,LeftTemporal,dct01,-8.64162220968202e-10,2.71106149666146e-09,-0.31875419352618,0.749926661805899
sub-002,cate,42,13,13,HbT,LeftTemporal,dct02,9.25549073407956e-09,2.48971848416809e-09,3.71748484534876,0.000203488980173222
sub-002,cate,42,13,13,HbT,LeftTemporal,dct03,1.08872796119124e-09,2.30697305530696e-09,0.471929205539153,0.636998582391809
sub-002,cate,43,13,17,HbO,LeftTemporal,task,2.8807960723915e-09,7.17295245512704e-11,40.1619290022254,1.10013738803582e-304
sub-002,cate,43,13,17,HbO,LeftTemporal,intercept,-3.00221583687485e-08,2.65191264363058e-09,-11.3209454469989,2.40904000765147e-29
sub-002,cate,43,13,17,HbO,LeftTemporal,dct01,1.00720456046101e-08,3.64579332818385e-09,2.76264853708191,0.00575508786161331
sub-002,cate,43,13,17,HbO,LeftTemporal,dct02,-3.27004220179118e-09,3.32899045807891e-09,-0.982292452612873,0.326004859808047
sub-002,cate,43,13,17,HbO,LeftTemporal,dct03,-3.58005650111466e-08,3.07373124580047e-09,-11.6472658629669,6.10444742066457e-31
sub-002,cate,44,13,17,HbR,LeftTemporal,task,-1.02204666057366e-09,4.76321571100213e-11,-21.4570727547133,1.21392184212197e-97
sub-002,cate,44,13,17,HbR,LeftTemporal,intercept,1.37831682592329e-08,2.59639214486517e-09,5.30858494796003,1.15414424147438e-07
sub-002,cate,44,13,17,HbR,LeftTemporal,dct01,-5.83804908379972e-09,3.55261391834978e-09,-1.64331087418347,0.100383542915448
sub-002,cate,44,13,17,HbR,LeftTemporal,dct02,7.74929843048098e-09,2.98754605096452e-09,2.59386744113254,0.00951888685389724
sub-002,cate,44,13,17,HbR,LeftTemporal,dct03,1.29298630161678e-08,2.71739196529023e-09,4.75818843263078,2.01019907953281e-06
sub-002,cate,45,13,17,HbT,LeftTemporal,task,5.49243325752069e-10,7.30083222618358e-11,7.52302352302073,6.3431449045809e-14
sub-002,cate,45,13,17,HbT,LeftTemporal,intercept,-4.78708183779406e-09,2.34623714794904e-09,-2.04032309435501,0.0413722869672107
sub-002,cate,45,13,17,HbT,LeftTemporal,dct01,3.50213286174161e-09,3.22460914570821e-09,1.08606429601019,0.277504601326901
sub-002,cate,45,13,17,HbT,LeftTemporal,dct02,2.05474940745991e-08,3.00583112185918e-09,6.83587774614895,9.1598525895719e-12
sub-002,cate,45,13,17,HbT,LeftTemporal,dct03,-2.664873682183e-08,2.80343178645015e-09,-9.50575539259831,3.0393072976395e-21
sub-002,cate,46,16,12,HbO,RightTemporal,task,5.8770026420908e-10,6.96876212190007e-11,8.43335235051531,4.38186178574263e-17
sub-002,cate,46,16,12,HbO,RightTemporal,intercept,-9.51022223730668e-09,3.10407347620526e-09,-3.063787732542,0.00219755747646747
sub-002,cate,46,16,12,HbO,RightTemporal,dct01,2.41479125753898e-09,4.26025268645772e-09,0.566818786410251,0.570863573500307
sub-002,cate,46,16,12,HbO,RightTemporal,dct02,-4.25893266757453e-09,3.75712348901049e-09,-1.13356206683965,0.257034402295376
sub-002,cate,46,16,12,HbO,RightTemporal,dct03,-2.88991548532738e-08,3.44948377476778e-09,-8.37782020158054,6.9857941619788e-17
sub-002,cate,47,16,12,HbR,RightTemporal,task,6.78471392864245e-11,4.35523164171334e-11,1.55783078531579,0.119338706873567
sub-002,cate,47,16,12,HbR,RightTemporal,intercept,3.84604520749648e-09,4.41617198587541e-09,0.870900232100921,0.383851796779072
sub-002,cate,47,16,12,HbR,RightTemporal,dct01,-1.2875295858843e-08,5.89262840452428e-09,-2.18498350395852,0.0289378198787317
sub-002,cate,47,16,12,HbR,RightTemporal,dct02,5.50859820088558e-09,4.12101315770784e-09,1.33670968523419,0.181380208787215
sub-002,cate,47,16,12,HbR,RightTemporal,dct03,2.01529767850011e-10,3.66852953971041e-09,0.0549347540120719,0.956192709948532
sub-002,cate,48,16,12,HbT,RightTemporal,task,1.25344725934506e-09,7.79632732414316e-11,16.0774067997821,1.05456989430768e-56
sub-002,cate,48,16,12,HbT,RightTemporal,intercept,-1.93499732177212e-08,2.75367883236868e-09,-7.02695353948617,2.40406844817235e-12
sub-002,cate,48,16,12,HbT,RightTemporal,dct01,2.20363823169239e-10,3.78655037592011e-09,0.0581964588588609,0.953594542319249
sub-002,cate,48,16,12,HbT,RightTemporal,dct02,-1.23629542700524e-08,3.48788245927738e-09,-3.5445444089345,0.000397006136078728
sub-002,cate,48,16,12,HbT,RightTemporal,dct03,-3.07055783909242e-08,3.22884173029595e-09,-9.50978120197605,2.92603348820381e-21
sub-002,cate,49,16,16,HbO,RightTemporal,task,4.40702966700341e-10,3.87501839176488e-11,11.3729258069307,1.35025193887177e-29
sub-002,cate,49,16,16,HbO,RightTemporal,intercept,1.81818062109862e-09,6.83419827446838e-09,0.266041538170042,0.79021854343357
sub-002,cate,49,16,16,HbO,RightTemporal,dct01,4.59422783417916e-09,8.67964166571194e-09,0.529310772393773,0.596614144013554
sub-002,cate,49,16,16,HbO,RightTemporal,dct02,8.15370765543671e-09,5.1562238668269e-09,1.58133313564883,0.113867187817504
sub-002,cate,49,16,16,HbO,RightTemporal,dct03,3.46622416226975e-09,4.49419575400989e-09,0.771266841053163,0.440586409663576
sub-002,cate,50,16,16,HbT,RightTemporal,task,-4.01970158950566e-10,6.12678153547075e-11,-6.56086979147821,5.90892897872633e-11
sub-002,cate,50,16,16,HbT,RightTemporal,intercept,6.43621610602895e-10,9.33996945831942e-09,0.0689104620175819,0.945063735723885
sub-002,cate,50,16,16,HbT,RightTemporal,dct01,3.11465732117302e-08,1.18919474934586e-08,2.61913141046604,0.00884287868894182
sub-002,cate,50,16,16,HbT,RightTemporal,dct02,-5.05095621329384e-08,7.36680734629136e-09,-6.85637071239093,7.94886088726323e-12
sub-002,cate,50,16,16,HbT,RightTemporal,dct03,1.52239589358002e-08,6.36222384478715e-09,2.39286754241975,0.0167551412735392
sub-002,cate,51,16,20,HbO,RightTemporal,task,-1.19188034417691e-09,1.13356219640325e-10,-10.5144680014798,1.39505457836967e-25
sub-002,cate,51,16,20,HbO,RightTemporal,intercept,6.34924353225461e-09,2.92024947394828e-09,2.1742127132961,0.0297374253018191
sub-002,cate,51,16,20,HbO,RightTemporal,dct01,2.54051087685361e-09,3.99561239572607e-09,0.635825156506943,0.524920432487089
