subjId,task,roi,chromophore,term,nChannels,meanBeta,sdBeta,seBeta
sub-002,audi,PFC,HbO,common,17,-3.54048186246485e-11,2.11360010692431e-10,5.12623323009747e-11
sub-002,audi,PFC,HbO,oddball,17,2.04222643961183e-10,3.35561833359578e-10,8.1385698992203e-11
sub-002,audi,PFC,HbO,intercept,17,-3.49384943720811e-09,2.28075683500334e-08,5.53164784533425e-09
sub-002,audi,PFC,HbO,oddball-common,17,2.39627462585831e-10,5.18174218409568e-10,1.25675707939678e-10
sub-002,audi,PFC,HbR,common,17,-7.87862753751751e-11,8.02475232788776e-11,1.94628832160603e-11
sub-002,audi,PFC,HbR,oddball,17,1.17170820878542e-10,2.80663920240522e-10,6.80709993206824e-11
sub-002,audi,PFC,HbR,intercept,17,7.04265691708318e-09,1.41099663195457e-08,3.42216950055261e-09
sub-002,audi,PFC,HbR,oddball-common,17,1.95957096253717e-10,3.21700681895632e-10,7.80238759581716e-11
sub-002,audi,PFC,HbT,common,15,-1.08433352866486e-10,2.44610309422511e-10,6.31581103136019e-11
sub-002,audi,PFC,HbT,oddball,15,3.1708104443784e-10,2.8132449298212e-10,7.26376717466664e-11
sub-002,audi,PFC,HbT,intercept,15,3.51656245048873e-09,3.2370476667e-08,8.35802113600578e-09
sub-002,audi,PFC,HbT,oddball-common,15,4.25514397304326e-10,4.63485295902686e-10,1.19671388816208e-10
sub-002,audi,Parietal,HbO,common,4,4.74321852934558e-10,1.37485296866321e-10,6.87426484331607e-11
sub-002,audi,Parietal,HbO,oddball,4,4.1672570769539e-11,6.96413240493972e-10,3.48206620246986e-10
sub-002,audi,Parietal,HbO,intercept,4,-7.36146714917752e-08,4.75988552635054e-08,2.37994276317527e-08
sub-002,audi,Parietal,HbO,oddball-common,4,-4.32649282165019e-10,5.90742953679535e-10,2.95371476839768e-10
sub-002,audi,Parietal,HbR,common,2,-3.15019713892995e-10,1.69157787615262e-10,1.19612618713266e-10
sub-002,audi,Parietal,HbR,oddball,2,5.91956507224332e-10,5.6596156185572e-11,4.00195258279109e-11
sub-002,audi,Parietal,HbR,intercept,2,2.51721977885723e-08,2.19539825435867e-08,1.55238099306213e-08
sub-002,audi,Parietal,HbR,oddball-common,2,9.06976221117327e-10,2.25753943800834e-10,1.59632144541177e-10
sub-002,audi,Parietal,HbT,common,2,1.46778536328336e-10,8.55350367757449e-11,6.04824045331699e-11
sub-002,audi,Parietal,HbT,oddball,2,2.888024957625e-10,9.83854910306702e-12,6.95690478781552e-12
sub-002,audi,Parietal,HbT,intercept,2,-3.28783977543898e-08,1.2520595072738e-08,8.8533976804239e-09
sub-002,audi,Parietal,HbT,oddball-common,2,1.42023959434165e-10,9.53735858788119e-11,6.74393093209855e-11
sub-002,audi,Temporal,HbO,common,10,1.96953201994116e-10,1.80172096450101e-10,5.69754195589857e-11
sub-002,audi,Temporal,HbO,oddball,10,-1.11545940108055e-10,3.10788949064458e-10,9.82800950653744e-11
sub-002,audi,Temporal,HbO,intercept,10,-2.8540781679004e-08,3.09551713648828e-08,9.78888468738528e-09
sub-002,audi,Temporal,HbO,oddball-common,10,-3.0849914210217e-10,3.48750519812067e-10,1.10284597777381e-10
sub-002,audi,Temporal,HbR,common,11,-9.67513607810515e-11,2.36364249260809e-10,7.12665026047403e-11
sub-002,audi,Temporal,HbR,oddball,11,3.95252887763216e-10,2.36204069738934e-10,7.12182066617258e-11
sub-002,audi,Temporal,HbR,intercept,11,-1.80072045346834e-09,4.04562298965986e-08,1.21980122726706e-08
sub-002,audi,Temporal,HbR,oddball-common,11,4.92004248544268e-10,3.33436806074952e-10,1.00534979731374e-10
sub-002,audi,Temporal,HbT,common,9,1.71107147183398e-10,3.38553505647654e-10,1.12851168549218e-10
sub-002,audi,Temporal,HbT,oddball,9,3.50978061889554e-10,3.40296526424887e-10,1.13432175474962e-10
sub-002,audi,Temporal,HbT,intercept,9,-4.47415421221754e-08,5.3686053017436e-08,1.7895351005812e-08
sub-002,audi,Temporal,HbT,oddball-common,9,1.79870914706156e-10,5.81429681250848e-10,1.93809893750283e-10
